ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
9,13,4.20908,-0.00425567,-0.00425567,3.48063,0.517697,0.517697,3.71192,0.259292,0.259292,4.20908,-0.112212,-0.112212,0,All,#4682B4,0
9,13.5,4.07652,-0.411542,-0.623179,3.3982,-0.444883,-0.560495,3.62866,-0.702361,-0.904074,4.07652,-0.429353,-0.600197,1,All,#4682B4,0
9,14,3.95997,0.364102,0.364102,3.335,0.969759,0.969759,3.56869,0.708672,0.708672,3.95997,0.309687,0.309687,0,All,#4682B4,0
9,14.5,3.85189,0.192061,0.192061,3.28318,0.3238,0.3238,3.52054,0.0586141,0.0586141,3.85189,0.0832484,0.0832484,0,All,#4682B4,0
9,15,3.74766,-0.0458393,-0.0754275,3.23601,-0.263676,-2.14796,3.48084,-0.537208,-1.58625,3.74766,-0.101402,-0.139149,1,All,#4682B4,0
9,15.5,3.64832,0.536817,0.536817,3.19066,0.73105,0.73105,3.44436,0.447606,0.447606,3.64832,0.5005,0.5005,0,All,#4682B4,0
9,16,3.54986,0.678119,0.678119,3.14679,0.850454,0.850454,3.41043,0.555898,0.555898,3.54986,0.616689,0.616689,0,All,#4682B4,0
9,16.5,3.45107,0.226461,-0.0684788,3.09857,-0.110121,-1.19029,3.37516,-0.419137,-1.59429,3.45107,0.209446,-0.131534,1,All,#4682B4,0
9,17,3.35154,0.270225,0.262576,3.05146,-0.0574881,-0.578024,3.33869,-0.378398,-1.79241,3.35154,0.165977,0.150968,1,All,#4682B4,0
9,17.5,3.25039,0.380623,-0.274247,3.00208,-0.00232849,-0.138878,3.30037,-0.335587,-1.3967,3.25039,0.2855,-0.300484,1,All,#4682B4,0
10,1,0,3.05972,0.103222,0,3.3517,0.00692094,0,3.3517,0.607991,0,2.42525,0.120431,1,All,#4682B4,0
10,1.5,0,1.55631,1.55631,4.09457,-0.697793,-0.697793,3.49778,-0.0310354,-0.0310354,0,1.37174,1.37174,0,All,#4682B4,0
10,2,0.189146,1.85535,1.85535,7.39565,-0.215236,-0.215236,7.29546,-0.1033,-0.1033,0.189146,1.53213,1.53213,0,All,#4682B4,0
10,2.5,4.97854,1.46436,1.46436,8.36911,0.121651,0.121651,8.32224,0.174022,0.174022,4.97854,1.59389,1.59389,0,All,#4682B4,0
10,3,6.43303,1.28964,1.28964,8.74095,0.545269,0.545269,8.72386,0.564365,0.564365,6.43303,1.66534,1.66534,0,All,#4682B4,0
10,3.5,7.20021,0.935156,0.935156,8.72659,0.0741919,0.0741919,8.73075,0.0695498,0.0695498,7.20021,1.10986,1.10986,0,All,#4682B4,0
10,4,7.66091,0.60248,0.60248,8.52072,-0.267819,-0.267819,8.53266,-0.281163,-0.281163,7.66091,0.636234,0.636234,0,All,#4682B4,0
10,4.5,7.91751,-0.228083,-0.228083,8.25726,-1.51414,-1.51414,8.2725,-1.53117,-1.53117,7.91751,-0.481971,-0.481971,0,All,#4682B4,0
10,5,7.99601,-0.122874,-0.122874,7.98025,-0.854961,-0.854961,7.99725,-0.873954,-0.873954,7.99601,-0.330696,-0.330696,0,All,#4682B4,0
10,5.5,7.91496,-0.829902,-0.829902,7.70111,-1.70055,-1.70055,7.71924,-1.7208,-1.7208,7.91496,-1.13042,-1.13042,0,All,#4682B4,0
10,6,7.70819,-0.782849,-0.782849,7.4231,-1.46481,-1.46481,7.44216,-1.48611,-1.48611,7.70819,-0.993467,-0.993467,0,All,#4682B4,0
10,6.5,7.42142,0.730034,0.730034,7.14803,1.11385,1.11385,7.16796,1.09158,1.09158,7.42142,0.838192,0.838192,0,All,#4682B4,0
10,7,7.09625,1.14187,1.14187,6.87775,1.82808,1.82808,6.89853,1.80486,1.80486,7.09625,1.34561,1.34561,0,All,#4682B4,0
10,7.5,6.76028,0.0477709,0.0477709,6.61494,0.186644,0.186644,6.63653,0.162529,0.162529,6.76028,0.0239317,0.0239317,0,All,#4682B4,0
10,8,6.43148,0.352979,0.352979,6.36327,0.686795,0.686795,6.38558,0.661877,0.661877,6.43148,0.341738,0.341738,0,All,#4682B4,0
10,8.5,6.12263,-0.391431,-0.391431,6.12759,-0.612904,-0.612904,6.15054,-0.638549,-0.638549,6.12263,-0.573374,-0.573374,0,All,#4682B4,0
10,9,5.84436,0.277682,0.277682,5.91365,0.385835,0.385835,5.93792,0.358722,0.358722,5.84436,0.203732,0.203732,0,All,#4682B4,0
10,9.5,5.60406,0.365942,0.365942,5.72815,0.453427,0.453427,5.75136,0.427496,0.427496,5.60406,0.279432,0.279432,0,All,#4682B4,0
10,10,5.37388,0.466451,0.466451,5.576,0.49494,0.49494,5.59733,0.471109,0.471109,5.37388,0.367945,0.367945,0,All,#4682B4,0
10,10.5,5.14024,0.398202,0.398202,5.45959,0.21608,0.21608,5.48249,0.190503,0.190503,5.14024,0.270941,0.270941,0,All,#4682B4,0
10,11,4.91488,0.774438,0.774438,5.38205,0.814405,0.814405,5.40494,0.78884,0.78884,4.91488,0.787882,0.787882,0,All,#4682B4,0
10,11.5,4.7063,0.702208,0.702208,5.30223,0.57288,0.57288,5.32966,0.542236,0.542236,4.7063,0.702478,0.702478,0,All,#4682B4,0
10,12,4.51848,1.06963,1.06963,5.15418,1.24663,1.24663,5.18225,1.21527,1.21527,4.51848,1.11188,1.11188,0,All,#4682B4,0
10,12.5,4.35198,0.295811,0.295811,4.93917,-0.0996283,-0.0996283,4.98019,-0.145454,-0.145454,4.35198,0.249286,0.249286,0,All,#4682B4,0
10,13,4.20908,-0.274375,-0.274375,4.66699,-1.13622,-1.13622,4.73277,-1.2097,-1.2097,4.20908,-0.292921,-0.292921,0,All,#4682B4,0
10,13.5,4.07652,0.852976,0.852976,4.37894,0.938543,0.938543,4.46038,0.847553,0.847553,4.07652,0.801723,0.801723,0,All,#4682B4,0
10,14,3.95997,1.12538,1.12538,4.08931,1.37608,1.37608,4.18996,1.26364,1.26364,3.95997,1.14219,1.14219,0,All,#4682B4,0
10,14.5,3.85189,0.739334,0.739334,3.80932,0.733661,0.733661,3.92496,0.604467,0.604467,3.85189,0.722016,0.722016,0,All,#4682B4,0
10,15,3.74766,-0.139745,-0.77122,3.54031,-0.603651,-1.82254,3.66827,-0.746616,-1.7909,3.74766,-0.191369,-0.809706,1,All,#4682B4,0
10,15.5,3.64832,0.491534,0.491534,3.2784,0.535825,0.535825,3.42048,0.377091,0.377091,3.64832,0.461386,0.461386,0,All,#4682B4,0
10,16,3.54986,0.184888,0.0794143,3.02211,-0.0247004,-1.29284,3.17715,-0.197916,-0.599649,3.54986,0.100229,-0.00546029,1,All,#4682B4,0
10,16.5,3.45107,0.176857,-0.00748887,2.76874,0.258373,-0.272569,2.93632,0.071149,-1.09197,3.45107,0.0632406,-0.0797778,1,All,#4682B4,0
11,1,0,2.96288,0.292868,0,3.3517,0.607991,0,3.3517,1.86224,0,2.34251,0.394125,1,All,#4682B4,0
11,1.5,0,1.27721,-0.0881545,0,3.3517,1.41338,0,3.3517,1.18392,0,1.28173,0.202861,1,All,#4682B4,0
11,2,0.189146,0.600561,0.600561,5.09423,-1.23145,-1.23145,4.94389,-1.06348,-1.06348,0.189146,0.491816,0.491816,0,All,#4682B4,0
11,2.5,4.97854,0.554187,0.554187,7.041,-1.23678,-1.23678,6.88054,-1.05751,-1.05751,4.97854,0.329652,0.329652,0,All,#4682B4,0
11,3,6.43303,0.463338,0.463338,7.78996,-0.840112,-0.840112,7.6336,-0.66542,-0.66542,6.43303,0.289028,0.289028,0,All,#4682B4,0
