rep,ID,time,sim_y3,censored,split,color,filter
2,14,5,1.83239,0,All,-1,0
2,14,6,0.491562,0,All,-1,0
2,14,7,0.273706,0,All,-1,0
2,14,8,-0.112791,0,All,-1,0
2,14,9,-0.433025,1,All,-1,0
2,14,10,0.267337,0,All,-1,0
2,14,-1,-4.05888,1,All,-1,0
2,14,2,0.141681,0,All,-1,0
2,14,11,-0.318118,1,All,-1,0
2,14,12,-1.26787,1,All,-1,0
2,14,13,1.61663,0,All,-1,0
2,14,14,-3.27603,1,All,-1,0
2,15,1,-7.99508,1,All,-1,0
2,15,5,4.5376,0,All,-1,0
2,15,6,0.567718,0,All,-1,0
2,15,7,-0.17357,0,All,-1,0
2,15,8,-0.820671,1,All,-1,0
2,15,9,0.0335496,0,All,-1,0
2,15,10,-0.616739,1,All,-1,0
2,15,12,-0.29661,0,All,-1,0
2,15,13,-1.31058,1,All,-1,0
2,15,-1,-7.70019,1,All,-1,0
2,15,0,-3.07825,1,All,-1,0
2,15,2,0.0945002,0,All,-1,0
2,15,3,0.905969,0,All,-1,0
2,15,4,3.03242,0,All,-1,0
2,15,11,-1.54435,1,All,-1,0
2,15,14,-0.422918,1,All,-1,0
2,16,0,3.35218,0,All,-1,0
2,16,1,-10.4048,1,All,-1,0
2,16,3,1.84689,0,All,-1,0
2,16,4,3.09591,0,All,-1,0
2,16,5,0.872153,0,All,-1,0
2,16,6,2.50773,0,All,-1,0
2,16,7,3.34223,0,All,-1,0
2,16,8,0.992317,0,All,-1,0
2,16,9,2.63537,0,All,-1,0
2,16,10,-0.190237,0,All,-1,0
2,16,11,-2.94753,1,All,-1,0
2,16,12,-1.83435,1,All,-1,0
2,16,13,-4.13171,1,All,-1,0
2,16,14,-5.54648,1,All,-1,0
2,16,-1,-13.1974,1,All,-1,0
2,16,2,-1.1017,1,All,-1,0
2,17,-1,-3.78892,1,All,-1,0
2,17,0,-9.36356,1,All,-1,0
2,17,1,-9.45217,1,All,-1,0
2,17,2,-5.46853,1,All,-1,0
2,17,3,0.00322295,0,All,-1,0
2,17,4,1.02626,0,All,-1,0
2,17,5,-0.837292,1,All,-1,0
2,17,6,4.93266,0,All,-1,0
2,17,7,5.23331,0,All,-1,0
2,17,8,2.80408,0,All,-1,0
2,17,9,0.359625,0,All,-1,0
2,17,10,1.37727,0,All,-1,0
2,17,11,-1.22314,1,All,-1,0
2,17,12,-0.707472,1,All,-1,0
2,17,13,-1.21635,1,All,-1,0
2,17,14,-1.44817,1,All,-1,0
2,18,-1,-14.4184,1,All,-1,0
2,18,0,-17.4556,1,All,-1,0
2,18,1,-6.32655,1,All,-1,0
2,18,4,3.42416,0,All,-1,0
2,18,5,1.64254,0,All,-1,0
2,18,6,1.01871,0,All,-1,0
2,18,7,3.05376,0,All,-1,0
2,18,8,1.63331,0,All,-1,0
2,18,9,2.85339,0,All,-1,0
2,18,10,2.153,0,All,-1,0
2,18,2,-0.242471,0,All,-1,0
2,18,3,2.7897,0,All,-1,0
2,18,11,-0.0833596,0,All,-1,0
2,18,12,-0.833738,1,All,-1,0
2,18,13,-1.52297,1,All,-1,0
2,18,14,-1.75931,1,All,-1,0
3,7,-1,-9.78803,1,All,-1,0
3,7,1,-6.47064,1,All,-1,0
3,7,2,1.19378,0,All,-1,0
3,7,4,2.15721,0,All,-1,0
3,7,5,2.50633,0,All,-1,0
3,7,6,0.618667,0,All,-1,0
3,7,7,2.62495,0,All,-1,0
3,7,8,2.12642,0,All,-1,0
3,7,9,0.810394,0,All,-1,0
3,7,10,0.39608,0,All,-1,0
3,7,11,0.0431017,0,All,-1,0
3,7,12,-1.68936,1,All,-1,0
3,7,13,0.0909746,0,All,-1,0
3,7,0,-6.28648,1,All,-1,0
3,7,3,1.02077,0,All,-1,0
3,7,14,0.0340947,0,All,-1,0
3,8,-1,-12.9673,1,All,-1,0
3,8,0,-7.1839,1,All,-1,0
3,8,1,-11.1403,1,All,-1,0
3,8,4,1.47336,0,All,-1,0
3,8,5,-1.93163,1,All,-1,0
3,8,6,0.123161,0,All,-1,0
3,8,7,1.89443,0,All,-1,0
3,8,8,0.351891,0,All,-1,0
3,8,9,1.26001,0,All,-1,0
3,8,10,1.03643,0,All,-1,0
3,8,11,2.09022,0,All,-1,0
3,8,13,-0.183963,0,All,-1,0
3,8,2,1.71848,0,All,-1,0
3,8,3,2.92201,0,All,-1,0
3,8,12,0.714234,0,All,-1,0
3,8,14,-0.854508,1,All,-1,0
