iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_q_exp,sd_q_exp,E_ifn0,sd_ifn0
65,-3.79014,0.191577,2.45272,0.454166,2.91973,0.194967,2.10382,0.0922018,-2.30316,0.344643,0.624551,0.0774355,5.93167,0.487582,0.495941,0.216144,-1.77717,0.231291,-4.27523,0.0152624,0.427897,0.248011
66,-3.79036,0.19148,2.45267,0.454761,2.91986,0.194948,2.10416,0.0924636,-2.30273,0.345172,0.624492,0.0775386,5.93006,0.488104,0.4959,0.216405,-1.77717,0.231576,-4.27525,0.0152566,0.427543,0.24827
67,-3.79041,0.191143,2.45069,0.454832,2.92027,0.194954,2.10429,0.0926556,-2.30223,0.345349,0.624407,0.077614,5.92579,0.489098,0.49585,0.216956,-1.77734,0.231683,-4.2753,0.0152576,0.427475,0.248489
68,-3.79061,0.190904,2.44904,0.454836,2.92044,0.194671,2.10425,0.0928145,-2.30166,0.345548,0.62433,0.0777009,5.92348,0.490414,0.495839,0.217232,-1.77753,0.231754,-4.27529,0.015228,0.4274,0.248031
69,-3.79121,0.190992,2.44605,0.454325,2.92058,0.194574,2.10464,0.0927025,-2.30071,0.34587,0.624266,0.0776989,5.92105,0.490751,0.495836,0.217143,-1.77769,0.232069,-4.2753,0.0152457,0.427605,0.247793
70,-3.79168,0.191423,2.44304,0.454055,2.92035,0.194227,2.10457,0.0926449,-2.29998,0.346351,0.624209,0.0777553,5.91863,0.490289,0.495689,0.217313,-1.77788,0.232215,-4.2753,0.0152257,0.427849,0.247859
71,-3.79212,0.191483,2.43974,0.453222,2.91988,0.194102,2.10471,0.092516,-2.29926,0.346662,0.624191,0.0777681,5.91668,0.490399,0.495442,0.217305,-1.77803,0.23222,-4.27531,0.0152097,0.427816,0.247593
72,-3.79265,0.191661,2.43747,0.45262,2.91976,0.194008,2.10469,0.092319,-2.29917,0.346905,0.62423,0.077784,5.91535,0.490025,0.495099,0.217328,-1.778,0.232289,-4.27529,0.0151875,0.427907,0.24716
73,-3.79293,0.1918,2.43703,0.452525,2.9196,0.193787,2.10454,0.0924773,-2.2991,0.346667,0.624288,0.0777345,5.91431,0.490151,0.494719,0.21742,-1.77768,0.232303,-4.2753,0.015183,0.427828,0.246851
74,-3.793,0.192093,2.43647,0.452487,2.91915,0.19358,2.10448,0.0925695,-2.29897,0.346317,0.62434,0.0777067,5.9144,0.490477,0.494283,0.217381,-1.77739,0.23201,-4.2753,0.0151723,0.427716,0.24661
75,-3.79303,0.192253,2.43625,0.452348,2.91857,0.193199,2.1041,0.0926663,-2.29897,0.345937,0.624414,0.0776588,5.91482,0.49057,0.493758,0.217387,-1.77728,0.231644,-4.27529,0.0151886,0.427616,0.246846
76,-3.79316,0.192351,2.43654,0.452514,2.91814,0.192941,2.1039,0.0926588,-2.29903,0.34544,0.624482,0.0775166,5.91366,0.490614,0.493334,0.21732,-1.77691,0.231411,-4.2753,0.0151804,0.427508,0.24715
77,-3.79311,0.192153,2.43681,0.452793,2.91777,0.192681,2.10372,0.0926173,-2.29933,0.344771,0.624558,0.0773371,5.91405,0.49105,0.493179,0.217281,-1.77657,0.231292,-4.27534,0.0151799,0.427519,0.247409
78,-3.79303,0.192097,2.43736,0.452712,2.91758,0.192606,2.10313,0.0927264,-2.29957,0.343989,0.624563,0.0771326,5.91391,0.491583,0.493154,0.217527,-1.77641,0.231459,-4.27534,0.0151821,0.427457,0.24769
79,-3.7933,0.191984,2.43729,0.453154,2.91755,0.19241,2.10269,0.0928442,-2.29982,0.343282,0.62461,0.0769654,5.91416,0.491536,0.492969,0.217587,-1.77623,0.231524,-4.27534,0.015216,0.427406,0.247882
80,-3.79325,0.192024,2.43581,0.452931,2.91751,0.192515,2.10229,0.0930273,-2.30031,0.3426,0.624681,0.0768599,5.91375,0.490459,0.492786,0.217723,-1.77616,0.231534,-4.27537,0.015206,0.427578,0.247914
81,-3.79342,0.192069,2.43407,0.452914,2.91734,0.192406,2.10197,0.0930508,-2.30045,0.34203,0.624736,0.0767977,5.91404,0.490219,0.492539,0.218044,-1.7762,0.231491,-4.27541,0.0151854,0.428019,0.24818
82,-3.79342,0.191845,2.43359,0.452703,2.91719,0.192345,2.10123,0.0933924,-2.3007,0.341576,0.624763,0.0767563,5.91304,0.490393,0.492205,0.218098,-1.77635,0.231484,-4.27546,0.0151592,0.42818,0.248221
83,-3.79335,0.191675,2.43181,0.452505,2.91704,0.192108,2.10079,0.0935191,-2.30104,0.340958,0.624792,0.0766788,5.91258,0.490283,0.491764,0.218325,-1.77647,0.231332,-4.27551,0.015134,0.428382,0.247799
84,-3.79343,0.191677,2.43079,0.452066,2.91702,0.192048,2.1001,0.0936125,-2.30135,0.340349,0.624833,0.0765924,5.91288,0.490344,0.491403,0.218354,-1.77653,0.231165,-4.27556,0.0151256,0.428494,0.24734
85,-3.79357,0.191659,2.4295,0.451712,2.91682,0.192267,2.09997,0.0936025,-2.30137,0.339779,0.624859,0.0765548,5.91386,0.490648,0.491201,0.218425,-1.77656,0.231151,-4.27556,0.0151267,0.428692,0.247679
86,-3.79371,0.19186,2.4296,0.451751,2.91651,0.192369,2.09941,0.0935539,-2.30168,0.339481,0.624892,0.0765045,5.91489,0.490983,0.491083,0.218795,-1.77635,0.231214,-4.27552,0.0151502,0.428665,0.248096
87,-3.79383,0.191993,2.42737,0.451962,2.91623,0.192354,2.09934,0.0934625,-2.30158,0.339301,0.624901,0.0764153,5.91626,0.491777,0.490834,0.219059,-1.77612,0.23106,-4.27551,0.0151695,0.428565,0.248156
88,-3.79377,0.192003,2.42557,0.452513,2.91589,0.19246,2.09936,0.0933427,-2.30178,0.338948,0.62496,0.076262,5.91728,0.49246,0.490558,0.219425,-1.77601,0.231131,-4.27548,0.015186,0.428424,0.248144
89,-3.79389,0.192199,2.42336,0.45265,2.91574,0.192515,2.09937,0.0934087,-2.30184,0.338617,0.625014,0.0761153,5.91894,0.492831,0.490459,0.219865,-1.77604,0.231066,-4.27549,0.0152053,0.4284,0.248252
90,-3.79433,0.192358,2.41955,0.452811,2.91577,0.192483,2.09938,0.0934002,-2.30175,0.338383,0.625033,0.076044,5.9201,0.493352,0.490296,0.220086,-1.77573,0.230964,-4.27549,0.0152219,0.428241,0.248311
91,-3.79444,0.192274,2.41706,0.452906,2.91572,0.192379,2.09915,0.0934657,-2.30179,0.337854,0.625058,0.0759443,5.92032,0.493297,0.490191,0.220024,-1.77548,0.231236,-4.27552,0.0152453,0.428101,0.24843
92,-3.79487,0.192187,2.41468,0.452621,2.9159,0.192314,2.09907,0.0933588,-2.30207,0.33765,0.625123,0.0759054,5.9215,0.493786,0.490147,0.220052,-1.77529,0.231208,-4.27552,0.0152472,0.428011,0.248429
93,-3.7952,0.192128,2.41208,0.452747,2.91616,0.192415,2.09872,0.0933003,-2.3024,0.337194,0.625177,0.0758086,5.92311,0.493929,0.490162,0.220171,-1.775,0.231186,-4.2755,0.0152574,0.428027,0.248274
94,-3.79549,0.192167,2.40973,0.452776,2.91635,0.192558,2.09829,0.0932236,-2.30268,0.336686,0.625227,0.0757129,5.92408,0.494024,0.490174,0.22031,-1.77478,0.231064,-4.2755,0.015249,0.428064,0.247962
95,-3.7958,0.192231,2.40703,0.453339,2.91648,0.192873,2.09809,0.0932391,-2.30291,0.336262,0.6253,0.0756805,5.92469,0.494416,0.490041,0.220509,-1.77446,0.23104,-4.2755,0.0152425,0.42816,0.247879
96,-3.79595,0.19227,2.40565,0.454179,2.91645,0.19319,2.09794,0.0931514,-2.3029,0.335973,0.625319,0.0756782,5.92464,0.495344,0.489883,0.220609,-1.77418,0.231174,-4.27549,0.0152248,0.42804,0.247624
97,-3.79585,0.192242,2.40382,0.454425,2.91646,0.193494,2.09757,0.0931576,-2.30304,0.335807,0.625344,0.0757161,5.92442,0.495983,0.489858,0.220674,-1.77389,0.231256,-4.27545,0.0152081,0.427961,0.247427
