beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,alpha_exp_abscissa,alpha_exp_cdf,split
-3.00297,0.866667,4.1176,0.866667,3.33788,0.875,2.73878,0.866667,-0.794081,0.875,0.899833,0.866667,11.0718,0.875,0.84871,0.866667,-0.962641,0.866667,-3.36252,0.866667,All
-2.96316,0.875,4.15681,0.875,3.3386,0.883333,2.7389,0.875,-0.77703,0.883333,0.906219,0.875,11.1595,0.883333,0.880522,0.875,-0.95958,0.875,-3.35994,0.875,All
-2.92905,0.883333,4.32416,0.883333,3.33942,0.891667,2.74779,0.883333,-0.745324,0.891667,0.909638,0.883333,11.2021,0.891667,0.892288,0.883333,-0.949851,0.883333,-3.35023,0.883333,All
-2.90754,0.891667,4.55834,0.891667,3.36425,0.9,2.76289,0.891667,-0.716303,0.9,0.929155,0.891667,11.2478,0.9,0.893174,0.891667,-0.919769,0.891667,-3.34812,0.891667,All
-2.89021,0.9,4.5934,0.9,3.37173,0.908333,2.80237,0.9,-0.715763,0.908333,0.929854,0.9,11.4252,0.908333,0.897316,0.9,-0.887459,0.9,-3.33707,0.9,All
-2.83151,0.908333,4.91159,0.908333,3.37249,0.916667,2.82376,0.908333,-0.706475,0.916667,0.942664,0.908333,11.4344,0.916667,0.92709,0.908333,-0.856981,0.908333,-3.33631,0.908333,All
-2.81264,0.916667,5.02024,0.916667,3.37481,0.925,2.83511,0.916667,-0.675089,0.925,0.959028,0.916667,11.5038,0.925,0.996389,0.916667,-0.819602,0.916667,-3.31481,0.916667,All
-2.80634,0.925,5.5975,0.925,3.37913,0.933333,3.93818,0.925,-0.673966,0.933333,0.962685,0.925,11.5048,0.933333,1.04749,0.925,-0.794016,0.925,-3.31076,0.925,All
-2.75765,0.933333,5.7843,0.933333,3.44524,0.941667,4.12307,0.933333,-0.652137,0.941667,0.977081,0.933333,11.5069,0.941667,1.15622,0.933333,-0.751752,0.933333,-3.3107,0.933333,All
-2.7269,0.941667,5.82579,0.941667,3.45452,0.95,4.14423,0.941667,-0.641574,0.95,0.989187,0.941667,11.5156,0.95,1.17947,0.941667,-0.742031,0.941667,-3.21126,0.941667,All
-2.6204,0.95,6.23854,0.95,3.45564,0.958333,4.19579,0.95,-0.534327,0.958333,1.00829,0.95,11.5515,0.958333,1.18279,0.95,-0.728997,0.95,-3.17976,0.95,All
-2.58613,0.958333,6.56291,0.958333,3.50096,0.966667,4.20984,0.958333,-0.512521,0.966667,1.03662,0.958333,11.5579,0.966667,1.32646,0.958333,-0.724298,0.958333,-3.16807,0.958333,All
-2.56215,0.966667,6.7183,0.966667,3.52062,0.975,4.24451,0.966667,-0.44715,0.975,1.06203,0.966667,11.5799,0.975,1.42411,0.966667,-0.710629,0.966667,-3.15451,0.966667,All
-2.39562,0.975,6.91152,0.975,3.53878,0.983333,4.26271,0.975,-0.401474,0.983333,1.07628,0.975,11.6528,0.983333,1.45169,0.975,-0.57792,0.975,-3.13399,0.975,All
-2.36592,0.983333,9.32715,0.983333,3.60107,0.991667,4.30264,0.983333,-0.212134,0.991667,1.08331,0.983333,11.6755,0.991667,1.58334,0.983333,-0.404967,0.983333,-3.10935,0.983333,All
-2.34095,0.991667,10.3384,0.991667,3.61325,1,4.30951,0.991667,-0.20435,1,1.12568,0.991667,11.6908,1,2.01222,0.991667,-0.20234,0.991667,-3.09145,0.991667,All
-2.23451,1,10.905,1,4.16818,1,4.36096,1,-0.0299041,1,1.14567,1,11.6908,1,2.1851,1,-0.00485485,1,-2.89319,1,All
-2.0863,1,10.905,1,4.16818,1,6.93867,1,-0.0299041,1,1.8398,1,11.6908,1,2.1851,1,-0.00485485,1,-2.65821,1,All
