rep,ID,time,sim_y3,censored,split,color,filter
2,11,8,1.6266,0,All,-1,0
2,11,9,0.514079,0,All,-1,0
2,11,10,0.520199,0,All,-1,0
2,11,11,-0.405564,1,All,-1,0
2,11,1,-2.10095,1,All,-1,0
2,11,12,0.241679,0,All,-1,0
2,11,13,-0.489365,1,All,-1,0
2,11,14,0.419752,0,All,-1,0
2,12,-1,-0.035081,0,All,-1,0
2,12,0,-0.447329,1,All,-1,0
2,12,7,2.34161,0,All,-1,0
2,12,8,2.19822,0,All,-1,0
2,12,9,1.47715,0,All,-1,0
2,12,10,0.788224,0,All,-1,0
2,12,11,1.07502,0,All,-1,0
2,12,1,-0.267154,0,All,-1,0
2,12,2,-0.296615,0,All,-1,0
2,12,3,-0.0943009,0,All,-1,0
2,12,4,0.50762,0,All,-1,0
2,12,5,2.24678,0,All,-1,0
2,12,6,1.80027,0,All,-1,0
2,12,12,0.6086,0,All,-1,0
2,12,13,0.369944,0,All,-1,0
2,12,14,1.30017,0,All,-1,0
2,13,0,0.780205,0,All,-1,0
2,13,4,0.686136,0,All,-1,0
2,13,5,0.958602,0,All,-1,0
2,13,6,1.03394,0,All,-1,0
2,13,7,1.59515,0,All,-1,0
2,13,8,2.00268,0,All,-1,0
2,13,9,2.10034,0,All,-1,0
2,13,10,1.03491,0,All,-1,0
2,13,12,-0.357037,1,All,-1,0
2,13,13,-0.168444,0,All,-1,0
2,13,14,-1.41875,1,All,-1,0
2,13,-1,-0.0292643,0,All,-1,0
2,13,1,1.1339,0,All,-1,0
2,13,2,0.154494,0,All,-1,0
2,13,3,-0.603414,1,All,-1,0
2,13,11,-0.190824,0,All,-1,0
2,14,0,-0.914662,1,All,-1,0
2,14,1,-0.769888,1,All,-1,0
2,14,3,-0.507401,1,All,-1,0
2,14,4,1.20125,0,All,-1,0
2,14,5,-0.377727,1,All,-1,0
2,14,6,1.28759,0,All,-1,0
2,14,7,1.84705,0,All,-1,0
2,14,8,1.37193,0,All,-1,0
2,14,9,0.650511,0,All,-1,0
2,14,10,0.970596,0,All,-1,0
2,14,-1,0.00978796,0,All,-1,0
2,14,2,0.34473,0,All,-1,0
2,14,11,0.212743,0,All,-1,0
