rep,ID,time,prediction_iwRes,iwRes_simulated,iwRes_simulated_simBlq,censored,split,color,filter
2,7,14,3.24213,0.313854,0.313854,0,All,#4682B4,0
3,7,14,3.76253,-0.269734,-0.269734,0,All,#4682B4,0
4,7,14,3.71055,-0.211446,-0.211446,0,All,#4682B4,0
5,7,14,2.52098,1.12256,1.12256,0,All,#4682B4,0
6,7,14,3.4769,0.0505708,0.0505708,0,All,#4682B4,0
7,7,14,3.74449,-0.249507,-0.249507,0,All,#4682B4,0
8,7,14,3.53032,-0.00932586,-0.00932586,0,All,#4682B4,0
9,7,14,4.01233,-0.549868,-0.549868,0,All,#4682B4,0
10,7,14,3.16369,0.401812,0.401812,0,All,#4682B4,0
1,7,14.5,2.49168,0.570036,-0.118782,1,All,#4682B4,0
2,7,14.5,2.55406,0.50009,-0.76458,1,All,#4682B4,0
3,7,14.5,3.11855,-0.132948,-0.344332,1,All,#4682B4,0
4,7,14.5,3.12738,-0.142848,-0.201925,1,All,#4682B4,0
5,7,14.5,1.68989,1.46919,0.57417,1,All,#4682B4,0
6,7,14.5,2.75595,0.27368,-0.0501454,1,All,#4682B4,0
7,7,14.5,3.11477,-0.128708,-0.446766,1,All,#4682B4,0
8,7,14.5,2.75475,0.27503,-0.0101003,1,All,#4682B4,0
9,7,14.5,3.60271,-0.675889,-1.00368,1,All,#4682B4,0
10,7,14.5,2.55148,0.502984,-0.467727,1,All,#4682B4,0
1,7,15,1.52758,1.6512,0.160925,1,All,#4682B4,0
2,7,15,1.81643,1.32728,-0.3322,1,All,#4682B4,0
3,7,15,2.42126,0.649011,0.184481,1,All,#4682B4,0
4,7,15,2.48644,0.575912,0.0468503,1,All,#4682B4,0
5,7,15,0.820643,2.44397,-0.174885,1,All,#4682B4,0
6,7,15,1.97807,1.14602,-0.466544,1,All,#4682B4,0
7,7,15,2.42057,0.649784,0.0054321,1,All,#4682B4,0
8,7,15,1.93479,1.19455,-1.33849,1,All,#4682B4,0
9,7,15,3.15386,-0.172546,-1.8946,1,All,#4682B4,0
10,7,15,1.89904,1.23464,-1.32891,1,All,#4682B4,0
1,7,15.5,0.542542,2.75584,0.836588,1,All,#4682B4,0
2,7,15.5,1.03368,2.20507,1.95418,1,All,#4682B4,0
3,7,15.5,1.67727,1.48334,0.0174923,1,All,#4682B4,0
4,7,15.5,1.79346,1.35304,0.674749,1,All,#4682B4,0
5,7,15.5,0,3.36426,1.13242,1,All,#4682B4,0
6,7,15.5,1.15438,2.06971,-0.466887,1,All,#4682B4,0
7,7,15.5,1.66892,1.4927,-0.495252,1,All,#4682B4,0
8,7,15.5,1.07594,2.15768,0.060154,1,All,#4682B4,0
9,7,15.5,2.66907,0.371111,0.31896,1,All,#4682B4,0
10,7,15.5,1.20984,2.00752,0.234688,1,All,#4682B4,0
1,7,16,0,3.36426,0.437932,1,All,#4682B4,0
2,7,16,0.216326,3.12167,0.00780645,1,All,#4682B4,0
3,7,16,0.892556,2.36333,0.698006,1,All,#4682B4,0
4,7,16,1.05208,2.18444,-0.254274,1,All,#4682B4,0
5,7,16,0,3.36426,0.520773,1,All,#4682B4,0
6,7,16,0.295588,3.03278,1.42066,1,All,#4682B4,0
7,7,16,0.86944,2.38925,-0.760927,1,All,#4682B4,0
8,7,16,0.1858,3.1559,-0.0162087,1,All,#4682B4,0
9,7,16,2.14656,0.95706,-1.66721,1,All,#4682B4,0
10,7,16,0.487574,2.81749,-0.262954,1,All,#4682B4,0
1,8,1,0,3.36426,1.16782,1,All,#4682B4,0
2,8,1,0,3.36426,0.757985,1,All,#4682B4,0
3,8,1,0,3.36426,0.271761,1,All,#4682B4,0
4,8,1,0,3.36426,0.707707,1,All,#4682B4,0
5,8,1,0,3.36426,1.16957,1,All,#4682B4,0
6,8,1,0,3.36426,1.1424,1,All,#4682B4,0
7,8,1,0,3.36426,0.0133207,1,All,#4682B4,0
8,8,1,0,3.36426,1.35238,1,All,#4682B4,0
9,8,1,0,3.36426,0.323383,1,All,#4682B4,0
10,8,1,0,3.36426,0.374004,1,All,#4682B4,0
1,8,1.5,0,3.36426,0.167088,1,All,#4682B4,0
2,8,1.5,0,3.36426,0.623962,1,All,#4682B4,0
3,8,1.5,0,3.36426,2.02481,1,All,#4682B4,0
4,8,1.5,0,3.36426,0.0619353,1,All,#4682B4,0
5,8,1.5,0,3.36426,0.210412,1,All,#4682B4,0
6,8,1.5,0,3.36426,0.533563,1,All,#4682B4,0
7,8,1.5,0,3.36426,1.1705,1,All,#4682B4,0
8,8,1.5,0,3.36426,2.0704,1,All,#4682B4,0
9,8,1.5,0,3.36426,1.4577,1,All,#4682B4,0
10,8,1.5,0,3.36426,0.527972,1,All,#4682B4,0
1,8,2,0,4.02141,4.02141,0,All,#4682B4,0
2,8,2,0,4.02141,4.02141,0,All,#4682B4,0
3,8,2,0,4.02141,4.02141,0,All,#4682B4,0
