time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
9.78514,6.01747,3.86405,4.69533,5.15993,5.53662,5.8612,6.16163,6.44747,6.73378,7.06478,7.56351,All
9.86747,5.98015,3.82165,4.64832,5.11076,5.49342,5.81885,6.12974,6.42063,6.71213,7.04972,7.54807,All
9.9498,5.94297,3.77415,4.58689,5.05806,5.45028,5.77799,6.09519,6.39123,6.68802,7.0337,7.54062,All
10.0321,5.90222,3.72222,4.53827,5.00558,5.39802,5.72961,6.05637,6.36191,6.66437,7.0212,7.52524,All
10.1145,5.86138,3.669,4.49067,4.95863,5.35248,5.68837,6.02019,6.3307,6.64507,6.99988,7.50727,All
10.1968,5.82232,3.61443,4.43177,4.90957,5.30462,5.64513,5.9822,6.30091,6.61937,6.97135,7.48998,All
10.2791,5.78194,3.56562,4.38167,4.85558,5.2485,5.59955,5.94829,6.26796,6.59388,6.95649,7.47431,All
10.3614,5.72959,3.51994,4.33297,4.80726,5.20045,5.55517,5.91025,6.24137,6.56996,6.94338,7.4596,All
10.4438,5.69358,3.48048,4.28813,4.75611,5.15366,5.50921,5.86869,6.20823,6.54355,6.92062,7.45595,All
10.5261,5.64713,3.43634,4.23807,4.70166,5.10312,5.46002,5.83015,6.17532,6.51237,6.89463,7.44135,All
10.6084,5.60539,3.40052,4.19672,4.65387,5.05564,5.41725,5.78386,6.14849,6.48404,6.88124,7.42163,All
10.6908,5.5545,3.35986,4.14595,4.60469,5.00319,5.37004,5.74558,6.12014,6.45617,6.8686,7.40769,All
10.7731,5.50851,3.31365,4.10004,4.55569,4.95279,5.32954,5.70576,6.08415,6.4332,6.8458,7.38759,All
10.8554,5.46453,3.26195,4.04954,4.50675,4.9008,5.28797,5.65858,6.04694,6.40539,6.8248,7.36807,All
10.9378,5.41981,3.22365,3.99902,4.4634,4.85532,5.23733,5.61082,6.00521,6.37871,6.79965,7.34882,All
11.0201,5.37715,3.18249,3.95571,4.42149,4.80404,5.18859,5.56248,5.96678,6.35848,6.77801,7.3398,All
11.1024,5.32954,3.14393,3.90819,4.38035,4.75657,5.14339,5.51757,5.91948,6.3281,6.75177,7.32265,All
11.1847,5.28243,3.10207,3.86101,4.33057,4.71511,5.09962,5.46905,5.88249,6.29791,6.7353,7.30871,All
11.2671,5.23558,3.07165,3.8144,4.29104,4.66711,5.05083,5.42829,5.84262,6.26328,6.70813,7.28422,All
11.3494,5.19254,3.03074,3.7746,4.24898,4.61398,4.99532,5.38137,5.80299,6.22539,6.67788,7.26719,All
11.4317,5.14495,2.99677,3.7347,4.20605,4.56908,4.95269,5.33854,5.75976,6.18692,6.65089,7.24344,All
11.5141,5.09046,2.95502,3.69876,4.1641,4.52836,4.90673,5.29055,5.71289,6.14575,6.62558,7.22977,All
11.5964,5.04689,2.91662,3.65053,4.11912,4.49009,4.86257,5.24913,5.66491,6.11001,6.60042,7.20544,All
11.6787,5.00249,2.86931,3.60865,4.07522,4.44495,4.81687,5.20447,5.61731,6.07804,6.57872,7.18054,All
11.761,4.95862,2.82073,3.56723,4.03097,4.40154,4.76835,5.15554,5.57204,6.03565,6.54728,7.15497,All
11.8434,4.91369,2.77135,3.52082,3.98854,4.35602,4.72662,5.10675,5.52356,6.00185,6.51413,7.12716,All
11.9257,4.87257,2.72104,3.48178,3.94865,4.31467,4.6841,5.06045,5.47976,5.95728,6.47053,7.09948,All
12.008,4.82543,2.67067,3.44205,3.90894,4.27195,4.64094,5.01693,5.43367,5.91376,6.42579,7.06841,All
12.0904,4.77513,2.62306,3.40553,3.86581,4.23101,4.59395,4.97041,5.38941,5.87272,6.38359,7.03858,All
12.1727,4.73232,2.56406,3.36952,3.82256,4.19523,4.54781,4.92233,5.34486,5.83041,6.34206,6.98688,All
12.255,4.68669,2.52609,3.32921,3.78579,4.15891,4.50397,4.8815,5.29215,5.77657,6.28811,6.94928,All
12.3373,4.64114,2.4896,3.29039,3.74456,4.11022,4.46339,4.83689,5.24372,5.72867,6.23659,6.89852,All
12.4197,4.59742,2.44808,3.24297,3.7043,4.0735,4.42118,4.79529,5.19399,5.67353,6.18926,6.84585,All
12.502,4.55471,2.40382,3.20662,3.66473,4.03165,4.37696,4.75553,5.15316,5.6113,6.13525,6.78687,All
12.5843,4.51403,2.35307,3.17457,3.62168,3.99036,4.33838,4.71396,5.10738,5.56134,6.07789,6.74469,All
12.6667,4.47001,2.30506,3.14028,3.58194,3.9533,4.29903,4.66379,5.05809,5.50913,6.02603,6.70621,All
12.749,4.43271,2.25693,3.10562,3.54536,3.90893,4.25953,4.62409,5.01228,5.45751,5.96781,6.64867,All
12.8313,4.38962,2.20824,3.06041,3.50986,3.87256,4.22087,4.57367,4.9574,5.39735,5.91488,6.59194,All
12.9137,4.35102,2.15772,3.03118,3.47242,3.8305,4.17914,4.52949,4.90774,5.34532,5.85883,6.55159,All
12.996,4.31021,2.10634,2.98955,3.43703,3.78787,4.13866,4.482,4.86003,5.28898,5.79482,6.49084,All
13.0783,4.27169,2.05704,2.95345,3.39688,3.749,4.10044,4.4354,4.81193,5.24534,5.74075,6.43271,All
13.1606,4.23039,2.00144,2.91478,3.35582,3.70578,4.06069,4.39744,4.76468,5.19834,5.67655,6.38903,All
13.243,4.18595,1.94989,2.87321,3.31629,3.67022,4.02551,4.34986,4.71989,5.1365,5.62029,6.33922,All
13.3253,4.14719,1.9111,2.83682,3.27498,3.62884,3.98076,4.30467,4.67123,5.07443,5.55847,6.29273,All
13.4076,4.10909,1.86429,2.79435,3.24317,3.58646,3.94213,4.26294,4.61566,5.00992,5.4924,6.25295,All
13.49,4.06639,1.81226,2.7538,3.20342,3.54473,3.90518,4.22278,4.57207,4.95417,5.43946,6.20323,All
13.5723,4.02068,1.74967,2.70963,3.16238,3.50513,3.86791,4.17935,4.5238,4.8975,5.38622,6.16522,All
13.6546,3.97909,1.68376,2.66595,3.12468,3.46402,3.82667,4.13201,4.47282,4.84125,5.32481,6.12562,All
13.7369,3.9301,1.62345,2.62215,3.08446,3.42782,3.7865,4.09034,4.42162,4.77892,5.27007,6.08103,All
13.8193,3.88924,1.57631,2.5713,3.03812,3.39267,3.7417,4.05156,4.37719,4.72323,5.2175,6.04334,All
13.9016,3.84968,1.52098,2.52572,3.00815,3.36003,3.69201,4.00029,4.32767,4.67091,5.15482,5.99341,All
13.9839,3.80492,1.45459,2.47691,2.95773,3.32377,3.64717,3.9565,4.27576,4.61649,5.11086,5.94984,All
14.0663,3.76298,1.38876,2.43326,2.91104,3.2789,3.60096,3.91697,4.22429,4.56841,5.05987,5.91051,All
14.1486,3.7212,1.32753,2.36871,2.87253,3.23529,3.55523,3.86879,4.18329,4.5207,5.00928,5.88335,All
14.2309,3.67616,1.27304,2.32015,2.83683,3.19281,3.50762,3.82429,4.13722,4.47087,4.96001,5.84268,All
14.3133,3.62898,1.22691,2.28046,2.79743,3.14957,3.46316,3.78137,4.08991,4.42334,4.90998,5.8115,All
14.3956,3.57794,1.16586,2.2356,2.74639,3.09803,3.42083,3.73518,4.0421,4.37044,4.85704,5.77806,All
14.4779,3.53594,1.09227,2.19044,2.69404,3.05548,3.37231,3.6839,3.99566,4.32651,4.81059,5.72192,All
14.5602,3.48921,1.0149,2.13657,2.64685,3.00896,3.32912,3.63561,3.94507,4.28225,4.7717,5.68857,All
14.6426,3.43878,0.951005,2.07576,2.59315,2.96443,3.28396,3.59811,3.90301,4.23888,4.72598,5.64789,All
14.7249,3.39266,0.885267,2.01326,2.54186,2.91948,3.24193,3.55281,3.86009,4.19948,4.6791,5.61278,All
14.8072,3.35096,0.818052,1.96289,2.49155,2.8741,3.19582,3.50342,3.81742,4.16621,4.63628,5.5649,All
14.8896,3.30368,0.750724,1.90342,2.44014,2.82445,3.15255,3.45794,3.77745,4.1222,4.59688,5.52828,All
14.9719,3.26086,0.659867,1.83639,2.39078,2.77463,3.10772,3.41259,3.73374,4.0798,4.56504,5.49928,All
15.0542,3.21481,0.579259,1.7667,2.33142,2.72359,3.06553,3.36819,3.6874,4.04703,4.52188,5.45936,All
15.1365,3.17376,0.521824,1.69407,2.28066,2.67727,3.01846,3.3177,3.65704,4.01217,4.49389,5.41919,All
15.2189,3.12797,0.419191,1.62716,2.22126,2.62773,2.97365,3.27645,3.61418,3.98397,4.4638,5.39499,All
15.3012,3.07935,0.337093,1.55593,2.15388,2.5769,2.9293,3.23658,3.5803,3.94444,4.42554,5.35983,All
15.3835,3.03795,0.24377,1.49507,2.09002,2.52246,2.88275,3.19939,3.54441,3.91192,4.39712,5.33216,All
15.4659,2.99626,0.172088,1.42993,2.03274,2.46978,2.8344,3.16172,3.50363,3.87974,4.35952,5.29778,All
15.5482,2.95208,0.0972096,1.36158,1.97675,2.42281,2.78378,3.1188,3.47008,3.84589,4.32523,5.26078,All
15.6305,2.90991,0,1.2975,1.92646,2.37778,2.73754,3.07629,3.42318,3.80988,4.29037,5.23365,All
15.7129,2.87008,0,1.21098,1.86867,2.32712,2.69311,3.03894,3.38531,3.77924,4.25604,5.2037,All
15.7952,2.82986,0,1.14118,1.81316,2.27639,2.64275,3.00151,3.3561,3.74792,4.22219,5.17138,All
15.8775,2.78475,0,1.06943,1.75189,2.22457,2.59681,2.96619,3.31741,3.71949,4.1862,5.14572,All
15.9598,2.74963,0,0.98821,1.6819,2.16829,2.55683,2.93021,3.28266,3.68893,4.15867,5.12284,All
16.0422,2.7109,0,0.916135,1.62284,2.11868,2.51139,2.89064,3.24725,3.66,4.13647,5.10033,All
16.1245,2.67318,0,0.833121,1.56594,2.06959,2.46612,2.85604,3.21395,3.63108,4.11223,5.07257,All
16.2068,2.63018,0,0.759402,1.49995,2.01652,2.42621,2.81488,3.18485,3.60323,4.08526,5.04463,All
16.2892,2.5956,0,0.678512,1.43686,1.9661,2.38887,2.77805,3.15578,3.57762,4.05565,5.02492,All
16.3715,2.55027,0,0.585737,1.37532,1.90776,2.34435,2.74158,3.12006,3.55584,4.0302,4.9915,All
16.4538,2.51409,0,0.509255,1.31048,1.85697,2.30011,2.711,3.09152,3.52717,4.00158,4.96146,All
16.5361,2.47002,0,0.433083,1.24439,1.81022,2.26006,2.67752,3.05204,3.50305,3.97863,4.94009,All
16.6185,2.43241,0,0.352254,1.18042,1.75928,2.22413,2.64209,3.01371,3.48248,3.95621,4.93116,All
16.7008,2.3883,0,0.282858,1.11973,1.70331,2.18106,2.60546,2.98189,3.45006,3.92352,4.89591,All
