pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
2.13921,0.974425,-1.33484,0.0974425,1.75208,0.974425,All
2.18069,0.976982,-1.33431,0.0976982,1.76969,0.976982,All
2.2083,0.97954,-1.33232,0.097954,1.8745,0.97954,All
2.24955,0.982097,-1.32897,0.0982097,1.88571,0.982097,All
2.25153,0.984655,-1.3276,0.0984655,1.92274,0.984655,All
2.2588,0.987212,-1.32698,0.0987212,1.93809,0.987212,All
2.25959,0.98977,-1.32491,0.098977,1.9385,0.98977,All
2.27418,0.992327,-1.32438,0.0992327,2.00804,0.992327,All
2.64376,0.994885,-1.31985,0.0994885,2.02388,0.994885,All
2.65805,0.997442,-1.3194,0.0997442,2.06148,0.997442,All
3.42659,1,-1.31689,0.1,2.09203,1,All
