iteration,E_beta_exp,sd_beta_exp,E_delta0,sd_delta0,E_p,sd_p,E_td,sd_td,E_b_exp,sd_b_exp,E_h_0,sd_h_0,E_tc,sd_tc,E_sigma,sd_sigma,E_rho_exp,sd_rho_exp,E_alpha_exp,sd_alpha_exp
86,-3.52417,0.281164,1.90719,0.474304,2.74114,0.260369,1.89565,0.163263,-2.56212,0.519006,0.655466,0.117344,5.85312,0.69349,0.503808,0.236136,-2.137,0.370906,-3.72004,0.245564
87,-3.52409,0.281387,1.90636,0.475207,2.7411,0.260183,1.89624,0.163293,-2.56077,0.519204,0.655235,0.117462,5.85193,0.693864,0.503526,0.236241,-2.13819,0.371499,-3.71997,0.245797
88,-3.52411,0.281893,1.90594,0.475579,2.74096,0.260413,1.89665,0.163072,-2.55946,0.519245,0.655036,0.117543,5.85131,0.693038,0.503318,0.236287,-2.1389,0.37177,-3.71976,0.245693
89,-3.52445,0.282336,1.90655,0.475458,2.74107,0.260834,1.89712,0.162863,-2.55808,0.519118,0.654889,0.117499,5.85052,0.69255,0.503206,0.236536,-2.1393,0.371739,-3.71943,0.245559
90,-3.52472,0.282798,1.90623,0.475591,2.74126,0.260738,1.8974,0.162698,-2.55696,0.518803,0.654701,0.117476,5.85028,0.692177,0.503052,0.236494,-2.14018,0.371722,-3.71896,0.245399
91,-3.52495,0.2833,1.90651,0.475506,2.74159,0.260693,1.89764,0.162461,-2.55631,0.518426,0.654567,0.117503,5.851,0.691714,0.502985,0.236456,-2.1409,0.37151,-3.71844,0.245358
92,-3.52538,0.283475,1.9056,0.475338,2.74201,0.260581,1.89744,0.162151,-2.5557,0.518009,0.654417,0.117536,5.85042,0.691987,0.502914,0.236316,-2.14135,0.371493,-3.71791,0.245273
93,-3.5257,0.283705,1.9042,0.475298,2.74233,0.260451,1.89759,0.161981,-2.55494,0.517825,0.654254,0.117549,5.84906,0.691496,0.502866,0.236109,-2.1417,0.371481,-3.71735,0.245416
94,-3.52615,0.284043,1.90233,0.474996,2.74265,0.260533,1.89783,0.161856,-2.55422,0.517588,0.654118,0.117594,5.84636,0.691501,0.502752,0.236056,-2.14194,0.371429,-3.717,0.245304
95,-3.52673,0.284479,1.8995,0.474761,2.74297,0.260418,1.89794,0.161855,-2.55365,0.517387,0.65403,0.117663,5.84449,0.691341,0.502693,0.236135,-2.14213,0.37154,-3.71672,0.245055
96,-3.52729,0.284975,1.8972,0.474434,2.74299,0.260447,1.89789,0.162075,-2.55312,0.517543,0.653968,0.117658,5.84264,0.690696,0.502558,0.236191,-2.14206,0.37123,-3.71657,0.244902
97,-3.52787,0.285597,1.89491,0.47457,2.74315,0.260931,1.89772,0.16199,-2.55258,0.517606,0.653859,0.117654,5.84054,0.690188,0.502599,0.23648,-2.14204,0.370807,-3.71641,0.244793
98,-3.52859,0.28606,1.89285,0.474733,2.74309,0.261185,1.89741,0.161803,-2.55204,0.517609,0.653781,0.117682,5.83827,0.689822,0.502446,0.236755,-2.14197,0.370476,-3.71658,0.2448
99,-3.52955,0.28679,1.89077,0.474929,2.74318,0.261213,1.89738,0.161702,-2.55141,0.517573,0.653727,0.117697,5.83542,0.690202,0.502418,0.237024,-2.14185,0.370176,-3.71655,0.245103
100,-3.53035,0.287399,1.88846,0.475599,2.74338,0.261065,1.89741,0.16163,-2.55089,0.517301,0.653657,0.117687,5.83277,0.690362,0.502336,0.237171,-2.1418,0.369982,-3.71647,0.245362
101,-3.53095,0.287966,1.88672,0.475673,2.74366,0.260979,1.89734,0.161574,-2.55062,0.517073,0.653621,0.117661,5.83097,0.690283,0.502373,0.237127,-2.14187,0.369926,-3.71652,0.245789
102,-3.53153,0.288546,1.88492,0.475884,2.74391,0.260785,1.89733,0.161353,-2.55022,0.516808,0.65354,0.117628,5.82929,0.689997,0.502503,0.237066,-2.14191,0.37009,-3.71658,0.245952
103,-3.53213,0.288907,1.88454,0.476046,2.74421,0.260457,1.89733,0.161161,-2.54996,0.516442,0.653503,0.117548,5.82825,0.690381,0.502434,0.237103,-2.14198,0.370062,-3.7165,0.245817
