beta_exp_abscissa,beta_exp_cdf,delta0_abscissa,delta0_cdf,p_abscissa,p_cdf,td_abscissa,td_cdf,b_exp_abscissa,b_exp_cdf,h_0_abscissa,h_0_cdf,tc_abscissa,tc_cdf,sigma_abscissa,sigma_cdf,rho_exp_abscissa,rho_exp_cdf,q_exp_abscissa,q_exp_cdf,ifn0_abscissa,ifn0_cdf,split
-3.32808,0.85,4.89401,0.85,3.42,0.858333,2.77987,0.85,-1.05578,0.858333,0.846968,0.85,10.6931,0.85,0.674427,0.858333,-0.770065,0.85,-4.23996,0.85,0.675608,0.85,All
-3.3274,0.858333,4.89747,0.858333,3.42192,0.866667,2.79115,0.858333,-1.05235,0.866667,0.854834,0.858333,10.7137,0.858333,0.681681,0.866667,-0.758039,0.858333,-4.23894,0.858333,0.678675,0.858333,All
-3.31916,0.866667,5.0523,0.866667,3.45642,0.875,2.80093,0.866667,-1.01484,0.875,0.859669,0.866667,10.7843,0.866667,0.698348,0.875,-0.70478,0.866667,-4.23871,0.866667,0.684328,0.866667,All
-3.28895,0.875,5.24838,0.875,3.51243,0.883333,2.80254,0.875,-0.987543,0.883333,0.861093,0.875,10.8792,0.875,0.698562,0.883333,-0.70437,0.875,-4.23669,0.875,0.688044,0.875,All
-3.26522,0.883333,5.28922,0.883333,3.51244,0.891667,2.89047,0.883333,-0.975031,0.891667,0.865015,0.883333,10.955,0.883333,0.698681,0.891667,-0.680581,0.883333,-4.23603,0.883333,0.689466,0.883333,All
-3.23365,0.891667,5.33326,0.891667,3.53479,0.9,2.90174,0.891667,-0.973854,0.9,0.867403,0.891667,11.0597,0.891667,0.711109,0.9,-0.675851,0.891667,-4.23602,0.891667,0.700591,0.891667,All
-3.19321,0.9,5.40441,0.9,3.53722,0.908333,2.97872,0.9,-0.947235,0.908333,0.868782,0.9,11.1064,0.9,0.715739,0.908333,-0.660554,0.9,-4.23486,0.9,0.701165,0.9,All
-3.13412,0.908333,5.78032,0.908333,3.5373,0.916667,3.10754,0.908333,-0.907235,0.916667,0.874924,0.908333,11.239,0.908333,0.767931,0.916667,-0.659323,0.908333,-4.23326,0.908333,0.751544,0.908333,All
-3.08554,0.916667,6.17099,0.916667,3.54562,0.925,3.16843,0.916667,-0.89355,0.925,0.877362,0.916667,11.2832,0.916667,0.931946,0.925,-0.652597,0.916667,-4.23292,0.916667,0.796646,0.916667,All
-2.80328,0.925,6.75218,0.925,3.55055,0.933333,3.8225,0.925,-0.876083,0.933333,0.88011,0.925,11.3023,0.925,1.05631,0.933333,-0.638599,0.925,-4.23193,0.925,0.803703,0.925,All
